w_omics,w_ml,w_literature,w_pathway,enrichment_ratio,median_rank,in_top_500,in_top_1000,in_top_5000,bmp3_rank,found
0.2,0.0,0.6,0.2,1.537,11881,4,4,16,23,79
0.3,0.0,0.4,0.3,1.537,11881,4,4,16,18,79
0.4,0.0,0.2,0.4,1.537,11881,4,4,16,19,79
0.3,0.0,0.1,0.6,1.537,11881,4,4,16,76,79
0.3,0.0,0.0,0.7,1.537,11881,4,4,16,112,79
0.2,0.0,0.7,0.1,1.537,11881,4,4,16,27,79
0.4,0.0,0.3,0.3,1.537,11881,4,4,16,12,79
0.2,0.0,0.5,0.3,1.537,11881,4,4,16,24,79
0.2,0.0,0.4,0.4,1.537,11881,4,4,16,26,79
0.5,0.0,0.5,0.0,1.537,11881,4,4,16,9,79
0.5,0.0,0.4,0.1,1.537,11881,4,4,16,12,79
0.5,0.0,0.3,0.2,1.537,11881,4,4,16,11,79
0.5,0.0,0.2,0.3,1.537,11881,4,4,16,14,79
0.5,0.0,0.1,0.4,1.537,11881,4,4,16,21,79
0.5,0.0,0.0,0.5,1.537,11881,4,4,16,56,79
0.2,0.0,0.3,0.5,1.537,11881,4,4,16,33,79
0.1,0.0,0.2,0.7,1.537,11881,4,4,16,97,79
0.1,0.0,0.3,0.6,1.537,11881,4,4,16,62,79
0.1,0.0,0.4,0.5,1.537,11881,4,4,16,40,79
0.1,0.0,0.5,0.4,1.537,11881,4,4,16,35,79
0.1,0.0,0.6,0.3,1.537,11881,4,4,16,34,79
0.1,0.0,0.7,0.2,1.537,11881,4,4,16,41,79
0.2,0.0,0.2,0.6,1.537,11881,4,4,16,61,79
0.2,0.0,0.1,0.7,1.537,11881,4,4,16,105,79
0.4,0.0,0.0,0.6,1.537,11881,4,4,16,84,79
0.3,0.0,0.3,0.4,1.537,11881,4,4,16,23,79
0.3,0.0,0.2,0.5,1.537,11881,4,4,16,36,79
0.3,0.0,0.5,0.2,1.537,11881,4,4,16,13,79
0.6,0.0,0.0,0.4,1.537,11881,4,4,16,32,79
0.7,0.0,0.3,0.0,1.537,11881,4,4,16,8,79
