gene,gene_symbol,type_of_gene,log2fc,p_value,fdr,direction,tumor_mean,normal_mean,dataset
ENSG00000251026.2,NIHCOLE,,4.1602308694763845,9.540447251618837e-128,3.484075931818683e-123,up,4.27205922315251,0.11182835367612576,STAR-Counts-log2p1
ENSG00000231172.2,EVA1A-AS,ncRNA,3.599484600635492,7.078197972674179e-116,1.2924435588204418e-111,up,3.721435820147687,0.12195121951219512,STAR-Counts-log2p1
ENSG00000261650.1,,,3.2052322617436175,3.0998740963043156e-105,3.7734767374312434e-101,up,3.2784029934509347,0.07317073170731707,STAR-Counts-log2p1
ENSG00000224269.1,,,1.757645275558511,1.4151976140997974e-100,1.2920400417327626e-96,up,1.78203551946095,0.024390243902439025,STAR-Counts-log2p1
ENSG00000230316.7,FEZF1-AS1,ncRNA,5.275301091495937,6.659804020422624e-99,4.864187660436276e-95,up,5.590540420852175,0.31523932935623855,STAR-Counts-log2p1
ENSG00000171714.12,ANO5,protein-coding,-4.910122203227474,1.6656812853844069e-97,1.0138169143492193e-93,down,4.132593928618603,9.042716131846078,STAR-Counts-log2p1
ENSG00000174015.10,CBY2,protein-coding,3.659146053118773,6.958373872624719e-94,3.630183649348316e-90,up,3.844145138502216,0.18499908538344284,STAR-Counts-log2p1
ENSG00000141338.14,ABCA8,protein-coding,-6.2075441773102025,1.806123939126084e-93,8.244730016618182e-90,down,4.546235785638185,10.753779962948387,STAR-Counts-log2p1
ENSG00000198121.13,LPAR1,protein-coding,-3.0236323582025344,2.821615818287269e-93,1.1449176452003643e-89,down,7.6904335829308375,10.714065941133372,STAR-Counts-log2p1
ENSG00000232679.2,LINC02257,ncRNA,3.4294236762888324,3.3063578421253034e-93,1.2074488203657395e-89,up,3.5555194080313277,0.12609573174249541,STAR-Counts-log2p1
ENSG00000128610.12,FEZF1,protein-coding,4.084530435393389,7.0736349602796115e-93,2.348382501040465e-89,up,4.283796898843201,0.1992664634498125,STAR-Counts-log2p1
ENSG00000168079.17,SCARA5,protein-coding,-6.414993073804878,1.807566387119344e-92,5.500876407600944e-89,down,5.625784875925316,12.040777949730193,STAR-Counts-log2p1
ENSG00000104435.14,STMN2,protein-coding,-5.051621054086159,2.217089559922268e-91,6.228145664523176e-88,down,5.075162567395889,10.126783621482048,STAR-Counts-log2p1
ENSG00000265519.1,,,-2.888351424325637,5.1039282293222155e-86,1.3313596786186997e-82,down,4.196301847117662,7.084653271443299,STAR-Counts-log2p1
ENSG00000065325.13,GLP2R,protein-coding,-4.9579132735451,1.4853805459516715e-84,3.61630747717394e-81,down,4.148999539276205,9.106912812821305,STAR-Counts-log2p1
ENSG00000249162.1,ADAM20P3,pseudo,2.009484552455002,2.8019753452021534e-83,6.39533360196484e-80,up,2.033874796357441,0.024390243902439025,STAR-Counts-log2p1
ENSG00000259862.1,,,1.640255329434044,1.0886776667323104e-81,2.33867174772925e-78,up,1.640255329434044,0.0,STAR-Counts-log2p1
ENSG00000129455.15,KLK8,protein-coding,3.214035271196171,2.119829966901113e-81,4.300781697847874e-78,up,3.3746441126771747,0.1606088414810038,STAR-Counts-log2p1
ENSG00000244355.7,LY6G6D,protein-coding,3.2495756382087344,5.815014492074978e-81,1.1176763907162425e-77,up,3.4203073455258077,0.17073170731707318,STAR-Counts-log2p1
ENSG00000196616.14,ADH1B,protein-coding,-7.004781476006076,7.58602867516921e-81,1.385170905942522e-77,down,5.327630289803065,12.332411765809141,STAR-Counts-log2p1
ENSG00000180875.5,GREM2,protein-coding,-5.516496782415918,3.835833760645204e-80,6.67051490976201e-77,down,5.523512480301592,11.04000926271751,STAR-Counts-log2p1
ENSG00000101441.4,CST4,protein-coding,2.6915679186846413,2.3632226693777615e-79,3.9228422119548394e-76,up,2.8379093820992756,0.14634146341463414,STAR-Counts-log2p1
ENSG00000276122.1,,,3.1437888438526143,2.1908967291062444e-78,3.4786677239230845e-75,up,3.25561719752874,0.11182835367612576,STAR-Counts-log2p1
ENSG00000171060.11,C8orf74,protein-coding,2.1055166552676923,3.5360229524463725e-77,5.380500925016211e-74,up,2.1542971430725704,0.04878048780487805,STAR-Counts-log2p1
ENSG00000286042.1,LCAL1,ncRNA,2.8163326038850243,7.148741806347223e-76,1.0442596081039769e-72,up,2.8973552403456915,0.08102263646066737,STAR-Counts-log2p1
ENSG00000238042.5,,,2.2003801045708182,3.73319221867073e-75,5.243555639755247e-72,up,2.2979410801805744,0.0975609756097561,STAR-Counts-log2p1
ENSG00000079689.14,SCGN,protein-coding,-6.483997195229485,6.910181423976431e-75,9.34640427489612e-72,down,2.9985973392561487,9.482594534485633,STAR-Counts-log2p1
ENSG00000267073.1,,,2.4978624394407536,1.8554890075597223e-74,2.420021538109768e-71,up,2.6096907931168793,0.11182835367612576,STAR-Counts-log2p1
ENSG00000214039.9,LINC02418,ncRNA,6.485586871976716,1.628039568514376e-72,2.0501509311233274e-69,up,7.736590157777974,1.2510032858012585,STAR-Counts-log2p1
ENSG00000169432.18,SCN9A,protein-coding,-4.694716131293689,1.34942349682992e-71,1.6426532226910618e-68,down,4.716097981098858,9.410814112392547,STAR-Counts-log2p1
ENSG00000166206.15,GABRB3,protein-coding,-3.745785382598487,2.2887502768664835e-71,2.69622165680281e-68,down,3.6456051325914665,7.391390515189953,STAR-Counts-log2p1
ENSG00000276855.1,,,-2.6647719995706147,2.429517898928036e-71,2.7726113797172795e-68,down,4.970750186945106,7.635522186515721,STAR-Counts-log2p1
ENSG00000256298.1,,,1.7584926131139904,6.252542702594322e-70,6.919291119880061e-67,up,1.7584926131139904,0.0,STAR-Counts-log2p1
ENSG00000286324.1,,,1.8284835418629213,8.010006918513085e-70,8.392050963739631e-67,up,1.9016542735702384,0.07317073170731707,STAR-Counts-log2p1
ENSG00000171408.14,PDE7B,protein-coding,-2.952118438977414,8.042985397488625e-70,8.392050963739631e-67,down,4.8368672072107985,7.7889856461882125,STAR-Counts-log2p1
ENSG00000179277.9,MEIS3P1,,-3.0248832290343293,1.9567694896926317e-69,1.9849795831690336e-66,down,4.742392516833823,7.767275745868152,STAR-Counts-log2p1
ENSG00000250641.1,LY6G6F-LY6G6D,protein-coding,3.0601024287647536,2.054437112395023e-69,2.0277294299338877e-66,up,3.230834136081827,0.17073170731707318,STAR-Counts-log2p1
ENSG00000185432.12,TMT1A,protein-coding,-3.3299645687552992,2.799101684929657e-69,2.690010379788056e-66,down,10.10958913797266,13.43955370672796,STAR-Counts-log2p1
ENSG00000167912.6,TOX-DT,ncRNA,-2.4479401957605305,4.025668864705298e-69,3.769574391542892e-66,down,5.055841410281816,7.503781606042346,STAR-Counts-log2p1
ENSG00000175497.17,DPP10,protein-coding,-4.735569153738184,1.0768868977744595e-68,9.831708154956371e-66,down,3.423112077895216,8.1586812316334,STAR-Counts-log2p1
ENSG00000167755.15,KLK6,protein-coding,6.358654441117506,1.9123665290269618e-68,1.6628026969889432e-65,up,6.9963911466039015,0.6377367054863958,STAR-Counts-log2p1
