gene,pathway_count,top_pathways
ENSG00000168079.17,19,response to stimulus (GO:BP); monoatomic ion transport (GO:BP); transmembrane transport (GO:BP); inorganic ion transmembrane transport (GO:BP); Binding and Uptake of Ligands by Scavenger Receptors (REAC)
ENSG00000141338.14,7,transmembrane transport (GO:BP); biological regulation (GO:BP); transport (GO:BP); positive regulation of biological process (GO:BP); regulation of biological process (GO:BP)
ENSG00000196616.14,4,regulation of biological quality (GO:BP); biological regulation (GO:BP); regulation of hormone levels (GO:BP); hormone metabolic process (GO:BP)
ENSG00000182271.13,27,multicellular organismal process (GO:BP); anatomical structure development (GO:BP); response to stimulus (GO:BP); developmental process (GO:BP); system development (GO:BP)
ENSG00000251026.2,0,
ENSG00000230316.7,0,
ENSG00000100604.13,27,multicellular organismal process (GO:BP); response to stimulus (GO:BP); regulation of biological quality (GO:BP); cell-cell signaling (GO:BP); cellular response to chemical stimulus (GO:BP)
ENSG00000079689.14,24,regulation of biological quality (GO:BP); cell-cell signaling (GO:BP); chemical synaptic transmission (GO:BP); anterograde trans-synaptic signaling (GO:BP); synaptic signaling (GO:BP)
ENSG00000174992.8,3,response to stimulus (GO:BP); transport (GO:BP); establishment of localization (GO:BP)
ENSG00000171714.12,10,response to stimulus (GO:BP); monoatomic ion transport (GO:BP); transmembrane transport (GO:BP); inorganic ion transmembrane transport (GO:BP); transport (GO:BP)
ENSG00000214039.9,0,
ENSG00000104435.14,23,multicellular organismal process (GO:BP); anatomical structure development (GO:BP); response to stimulus (GO:BP); developmental process (GO:BP); system development (GO:BP)
ENSG00000180875.5,18,multicellular organismal process (GO:BP); anatomical structure development (GO:BP); response to stimulus (GO:BP); developmental process (GO:BP); multicellular organism development (GO:BP)
ENSG00000167755.15,30,multicellular organismal process (GO:BP); anatomical structure development (GO:BP); response to stimulus (GO:BP); developmental process (GO:BP); system development (GO:BP)
ENSG00000183034.13,9,monoatomic ion transport (GO:BP); transmembrane transport (GO:BP); inorganic ion transmembrane transport (GO:BP); transport (GO:BP); monoatomic ion transmembrane transport (GO:BP)
ENSG00000231172.2,0,
