k,tp_all,precision_all,recall_all,f1_all,tp_tier1,precision_tier1,recall_tier1,f1_tier1,tp_tier2,precision_tier2,recall_tier2,f1_tier2,tp_tier3,precision_tier3,recall_tier3,f1_tier3
10,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
25,1,0.04,0.0127,0.0192,1,0.04,0.0714,0.0513,0,0.0,0.0,0.0,0,0.0,0.0,0.0
50,1,0.02,0.0127,0.0155,1,0.02,0.0714,0.0312,0,0.0,0.0,0.0,0,0.0,0.0,0.0
100,2,0.02,0.0253,0.0223,1,0.01,0.0714,0.0175,0,0.0,0.0,0.0,1,0.01,0.0244,0.0142
250,3,0.012,0.038,0.0182,2,0.008,0.1429,0.0152,0,0.0,0.0,0.0,1,0.004,0.0244,0.0069
500,4,0.008,0.0506,0.0138,2,0.004,0.1429,0.0078,0,0.0,0.0,0.0,2,0.004,0.0488,0.0074
1000,4,0.004,0.0506,0.0074,2,0.002,0.1429,0.0039,0,0.0,0.0,0.0,2,0.002,0.0488,0.0038
2500,6,0.0024,0.0759,0.0047,2,0.0008,0.1429,0.0016,1,0.0004,0.0417,0.0008,3,0.0012,0.0732,0.0024
5000,11,0.0022,0.1392,0.0043,2,0.0004,0.1429,0.0008,4,0.0008,0.1667,0.0016,5,0.001,0.122,0.002
10000,32,0.0032,0.4051,0.0063,6,0.0006,0.4286,0.0012,12,0.0012,0.5,0.0024,14,0.0014,0.3415,0.0028
