gene,final_score,omics_score,ml_importance_score,literature_score,pathway_score
ENSG00000141338.14,73.3091985160628,97.66988543907878,99.69092441697106,75.0,8.860759493670885
ENSG00000230316.7,69.83479502793563,87.87407663980254,91.8516437201461,85.0,0.0
ENSG00000167755.15,68.92864729799868,72.75159875438455,97.33071087384097,75.0,37.9746835443038
ENSG00000104332.12,68.80785326273445,52.41420690639601,96.45967968530485,75.0,78.48101265822784
ENSG00000065325.13,66.24300612825982,70.44048913280702,99.97190221972464,75.0,27.848101265822784
ENSG00000168748.14,66.21847383110969,64.04302002081218,100.0,75.0,40.50632911392405
ENSG00000091138.13,65.94706080397327,64.50315889033267,97.9769598201742,75.0,39.24050632911392
ENSG00000214039.9,65.7644596258068,78.681660444118,87.91795448159596,85.0,0.0
ENSG00000166292.12,65.15778391138673,55.466193589343845,98.76369766788424,85.0,37.9746835443038
ENSG00000107562.16,64.41926706625517,25.74930420306667,93.79039055914583,85.0,96.20253164556962
ENSG00000185269.12,63.65399260139508,59.84253429352614,96.60016858668166,85.0,22.78481012658228
ENSG00000170419.11,63.54853625654644,53.97833894482924,99.12896881146389,95.0,17.72151898734177
ENSG00000183034.13,63.4708458682597,71.75900991927904,99.88760887889858,75.0,11.39240506329114
ENSG00000152785.8,63.37397263830682,66.03135766481644,99.04467547063783,75.0,22.78481012658228
ENSG00000044012.4,59.08937981575902,61.536598411396156,99.49423995504355,75.0,10.126582278481013
ENSG00000169035.12,58.42546653494494,51.046349746512256,94.68951952795729,85.0,15.18987341772152
ENSG00000166869.3,57.341891892715694,46.628338980582626,93.93087946052262,85.0,18.9873417721519
ENSG00000186462.9,57.02501869684758,49.469865858212586,99.26945771284068,75.0,24.050632911392405
ENSG00000133742.14,56.79441342651272,59.85655526025783,98.45462208485529,75.0,2.5316455696202533
ENSG00000062038.14,56.682536889265315,30.26284988247593,99.63472885642034,85.0,45.56962025316456
ENSG00000168309.18,56.42017540274375,29.310496800861735,95.75723517842091,85.0,48.10126582278481
ENSG00000232679.2,56.349346388936404,53.85840390434438,93.05984827198651,85.0,0.0
ENSG00000122641.11,56.32545769016232,26.63749159399532,97.52739533576847,75.0,67.08860759493672
ENSG00000137872.17,56.101718867751146,26.76725149092316,97.30261309356561,75.0,65.82278481012658
ENSG00000248144.6,55.68283761492865,56.05062407882809,97.49929755549311,75.0,5.063291139240507
ENSG00000066468.23,54.957680393450424,25.711726351653624,87.55268333801631,75.0,67.08860759493672
ENSG00000163347.6,54.90721836934145,24.874830825953904,98.37032874402922,85.0,48.10126582278481
ENSG00000016602.9,54.837794222177585,57.81615836924103,96.79685304860915,65.0,12.658227848101266
ENSG00000168079.17,54.804507026223405,100.0,99.94380443944928,0.0,24.050632911392405
ENSG00000123500.10,54.536079871062114,51.22808864518634,95.19527957291373,75.0,10.126582278481013
ENSG00000100604.13,54.496281231364954,83.19712217636693,98.81989322843495,15.0,34.177215189873415
ENSG00000167080.9,54.47204540587982,42.49744148692897,89.35094127563923,85.0,15.18987341772152
ENSG00000175497.17,54.45152353398081,54.37218629484154,86.45686990727732,65.0,22.78481012658228
ENSG00000169252.6,54.33206879158933,28.357411709945975,90.58724360775498,65.0,72.15189873417721
ENSG00000269404.7,54.3266866956365,51.50752645309853,99.57853329586963,75.0,6.329113924050633
ENSG00000197273.4,54.320592728367444,57.219997368949805,99.07277325091319,65.0,10.126582278481013
ENSG00000165072.10,53.805987656631196,49.74145414483235,98.90418656926103,75.0,7.59493670886076
ENSG00000182271.13,53.70482236174681,92.25774165025638,99.6628266366957,0.0,34.177215189873415
ENSG00000142959.5,53.55047866278596,46.31815606812078,99.91570665917394,75.0,12.658227848101266
ENSG00000103375.11,53.48233006016978,39.908565751005604,94.49283506602978,75.0,27.848101265822784
ENSG00000104371.5,53.270010090108116,34.725511423569465,93.22843495363867,85.0,22.78481012658228
ENSG00000196660.11,53.25442212490902,37.83825885401554,97.5835908963192,65.0,44.303797468354425
ENSG00000226320.6,53.251590138459406,46.08591549787652,93.17223939308793,85.0,0.0
ENSG00000176533.13,52.96679520219949,33.8206721935618,96.34728856420342,85.0,21.518987341772153
ENSG00000170373.8,52.565621685158185,39.23185700204473,98.53891542568137,85.0,7.59493670886076
ENSG00000143171.13,52.343357505320334,36.52096342979085,99.18516437201461,75.0,26.582278481012654
ENSG00000141668.10,52.30840166927897,33.89490382499835,99.21326215228997,75.0,31.645569620253166
ENSG00000138669.9,52.15364132974993,20.845658269761984,97.07783085136275,85.0,43.037974683544306
ENSG00000171714.12,52.09947070668216,80.64722510733586,98.08935094127564,25.0,12.658227848101266
ENSG00000135220.11,51.85556791534982,47.80935861168219,89.66001685866817,75.0,6.329113924050633
ENSG00000162761.14,51.732396762753424,22.902179767219803,89.32284349536387,75.0,55.69620253164557
ENSG00000131096.10,51.545591506475354,58.89718482961823,99.29755549311604,45.0,22.78481012658228
ENSG00000164379.7,51.5445866400668,40.89529686112067,99.01657769036247,75.0,13.924050632911392
ENSG00000154645.14,51.44652835299052,22.141245214087007,87.35599887608879,85.0,41.77215189873418
ENSG00000101441.4,51.27724785648693,35.847226185154774,91.59876369766789,85.0,11.39240506329114
ENSG00000071203.9,51.23468187756442,41.835922224080605,97.21831975273953,75.0,11.39240506329114
ENSG00000169860.7,50.819585172395875,32.48994247651697,98.93228434953639,45.0,72.15189873417721
ENSG00000128610.12,50.70471818444728,63.93830642814421,87.49648777746557,20.0,51.89873417721519
ENSG00000112175.8,50.55462304200042,25.77534641283713,83.39421185726327,65.0,62.0253164556962
ENSG00000178773.15,50.4917013244908,35.481465566838544,97.86456869907278,85.0,5.063291139240507
ENSG00000166501.14,50.34415244029489,21.871034249644786,74.12194436639506,65.0,73.41772151898735
ENSG00000104112.9,50.30128554080811,45.21268280397307,97.16212419218881,75.0,0.0
ENSG00000165197.5,49.99063151353982,21.03237510695267,97.10592863163811,75.0,46.835443037974684
ENSG00000082397.17,49.97599535709592,35.7387878350522,95.98201742062376,65.0,32.91139240506329
ENSG00000135298.14,49.8626795425342,25.39773779843628,90.6434391683057,65.0,55.69620253164557
ENSG00000139800.8,49.62373440582563,36.10158671789773,66.45125035122226,85.0,15.18987341772152
ENSG00000115507.10,49.58291452088814,26.10627300378991,95.8977240797977,85.0,20.253164556962027
ENSG00000127951.8,49.56876366073332,34.78052307766226,96.12250632200056,75.0,17.72151898734177
ENSG00000235026.6,49.54682568916896,38.376406734863956,86.96262995223377,85.0,0.0
ENSG00000064205.10,49.51063593485633,39.75809598486402,95.50435515594268,65.0,22.78481012658228
ENSG00000113805.8,49.43180926174695,46.06510525857101,79.99438044394492,75.0,2.5316455696202533
ENSG00000163586.10,49.409868851336334,37.255572751115686,82.1017139645968,75.0,18.9873417721519
ENSG00000233532.6,49.05537392847359,35.50405718701708,93.5375105366676,85.0,0.0
ENSG00000197587.11,49.02477233507981,27.19125798477896,88.50800786737848,85.0,18.9873417721519
ENSG00000196616.14,48.879514500339866,95.0886073853598,98.3141331834785,0.0,5.063291139240507
ENSG00000164270.18,48.8404113258335,42.80070305610195,93.59370609721832,45.0,44.303797468354425
ENSG00000204936.10,48.82436851410808,30.366148539405728,95.08288845181231,72.0,27.848101265822784
ENSG00000154165.5,48.72948691340933,35.75755323516668,91.03680809216071,65.0,29.11392405063291
ENSG00000137673.9,48.59830316156028,30.11775295300067,94.94239955043552,75.0,22.78481012658228
ENSG00000079689.14,48.58524013643225,81.3434713740475,99.71902219724642,0.0,30.37974683544304
ENSG00000129167.9,48.555759098081175,21.392372019728928,91.82354593987075,85.0,26.582278481012654
ENSG00000164283.13,48.546339606789815,29.419575351707998,99.74711997752178,75.0,21.518987341772153
ENSG00000099953.10,48.27154971920303,26.786891590590834,95.25147513346445,85.0,12.658227848101266
ENSG00000104888.10,48.205280897469805,23.80206965416174,98.17364428210172,65.0,46.835443037974684
ENSG00000167767.14,48.18079958209783,34.820790323890996,99.8033155380725,75.0,8.860759493670885
ENSG00000182938.7,47.9701673885136,25.83043819308042,98.59511098623209,85.0,11.39240506329114
ENSG00000111404.7,47.69944835901421,38.34281870590866,98.62320876650745,75.0,0.0
ENSG00000135549.15,47.59147018058618,34.8450962921937,98.87608878898567,75.0,6.329113924050633
ENSG00000004799.8,47.39833891157839,22.41422055973527,98.56701320595673,75.0,30.37974683544304
ENSG00000100448.4,46.98324738979265,53.150768770931,93.62180387749368,25.0,44.303797468354425
ENSG00000104435.14,46.878055842250525,77.806764261962,99.3256532733914,0.0,29.11392405063291
ENSG00000228705.2,46.805069639914365,29.506000876970507,95.02669289126159,85.0,0.0
ENSG00000228742.11,46.75008826709079,36.23634738871601,97.55549311604383,75.0,0.0
ENSG00000185432.12,46.65864097624535,38.564564924741674,99.60663107614498,65.0,8.860759493670885
ENSG00000271447.6,46.64898119447407,26.10916611496192,94.01517280134868,75.0,21.518987341772153
ENSG00000142875.19,46.638416492096795,25.900678964493885,84.23714526552402,65.0,41.77215189873418
ENSG00000137727.12,46.523318594136796,37.98671650092026,98.03315538072492,65.0,10.126582278481013
