gene,gene_symbol,llm_score,rationale
ENSG00000141338.14,ABCA8,75,"The abstracts provide strong CRC-specific evidence showing ABCA8 as a tumor suppressor that inhibits malignant progression through the Wnt/β-catenin pathway, with clear biomarker potential for diagnosis and treatment, though validation studies are still emerging."
ENSG00000230316.7,FEZF1-AS1,85,"The abstracts provide strong direct evidence for FEZF1-AS1 as a CRC biomarker, demonstrating its upregulation in colon cancer, association with poor prognosis, diagnostic potential in plasma, and mechanistic roles in autophagy, chemoresistance, and EMT through PI3K/AKT/mTOR and P53 pathways."
ENSG00000171714.12,ANO5,25,"ANO5 is mentioned in two CRC-related abstracts but only in passing as part of larger genomic studies, with no specific evidence of biomarker utility or mechanistic role in colorectal cancer."
ENSG00000214039.9,LINC02418,85,"The abstracts provide strong direct evidence for LINC02418 as a CRC biomarker, demonstrating upregulation in CRC tissues, association with poor survival, mechanistic roles in Wnt signaling and chemoresistance, and potential as a therapeutic target with validated in vivo approaches."
ENSG00000167755.15,KLK6,75,"The abstracts provide strong CRC-specific evidence for KLK6 as a biomarker, including upregulation in tumors, association with poor survival, mechanistic insights through Wnt/APC signaling, and validation in mouse models, though clinical validation as an established biomarker is still emerging."
ENSG00000183034.13,OTOP2,75,"The abstracts provide strong CRC-specific evidence for OTOP2 as a biomarker, demonstrating its downregulation in colorectal cancer, association with better survival outcomes, tumor suppressive effects, and potential as a prognostic indicator and predictor of immunotherapy response."
ENSG00000065325.13,GLP2R,75,"The abstracts provide strong CRC-specific evidence for GLP2R as a biomarker, showing it is downregulated in CRC with prognostic significance, mechanistic involvement in glycolysis and immune evasion through Hippo signaling, and validated utility in multiple prognostic models for survival prediction."
ENSG00000152785.8,BMP3,75,"The abstracts provide strong evidence for BMP3 as a CRC biomarker, specifically mentioning its FDA approval as part of a stool-based test combination with NDRG4, and its inclusion in high-performing multi-marker panels with sensitivities ranging from 90-98% for CRC detection."
ENSG00000091138.13,SLC26A3,75,"The abstracts provide strong CRC-specific evidence for SLC26A3 as a biomarker, demonstrating its role as a tumor suppressor in colorectal cancer progression and its involvement in sessile serrated lesions (CRC precursors), with clear mechanistic insights into lactylation regulation and bicarbonate transport dysfunction."
ENSG00000168748.14,CA7,75,"The abstracts provide strong CRC-specific evidence with CA7 consistently identified as a biomarker across multiple studies, showing diagnostic utility (100% accuracy in one study), prognostic value, and mechanistic involvement in CRC progression, though validation as an established clinical biomarker is still emerging."
ENSG00000128610.12,FEZF1,20,"Only one abstract mentions FEZF1 (specifically FEZF1-AS1) in relation to colon cancer, but it's just a correction notice without actual research content. The other abstracts discuss general cancer topics or unrelated research without any FEZF1-specific evidence."
ENSG00000167434.10,CA4,25,"CA4 is mentioned in CRC contexts but primarily as part of multi-gene prognostic signatures or as a reference compound (combretastatin A4) rather than as a direct CRC biomarker, with limited CRC-specific evidence for CA4 itself."
ENSG00000044012.4,GUCA2B,75,"The abstracts provide strong CRC-specific evidence for GUCA2B as a biomarker, showing consistent downregulation in CRC tissues, high diagnostic accuracy (near 100%), prognostic significance, and mechanistic involvement through the GUCA2B-GUCY2C axis and miRNA regulation, though validation as an established clinical biomarker is still emerging."
ENSG00000185269.12,NOTUM,85,"The abstracts provide strong, direct evidence for NOTUM as a CRC biomarker with clear diagnostic and therapeutic potential, including its role in Wnt signaling regulation, spatial localization at tumor boundaries, and utility in drug screening assays."
ENSG00000131096.10,PYY,45,"The abstracts mention PYY in colorectal cancer contexts but primarily as part of broader studies rather than focused CRC biomarker research. While one abstract identifies PYY as a potential diagnostic biomarker with decreased expression in CRC, and another discusses its antitumor effects, the evidence is limited and not extensively validated for CRC-specific biomarker utility."
ENSG00000174015.10,CBY2,0,"The abstracts discuss SPERT gene, not CBY2 gene, so they provide no evidence for CBY2 as a colorectal cancer biomarker."
ENSG00000197273.4,GUCA2A,65,"GUCA2A shows strong CRC-specific biomarker evidence with excellent diagnostic performance (99.6% AUC) and prognostic value for overall survival, though validation is primarily computational with limited experimental confirmation."
ENSG00000248144.6,ADH1C,75,"The abstracts provide strong CRC-specific evidence for ADH1C as a biomarker, demonstrating its role in hypoxia response, differential expression patterns between normal and cancer tissue, diagnostic potential, and prognostic value in CRC progression and treatment response."
ENSG00000166292.12,TMEM100,85,"The abstracts provide strong direct evidence for TMEM100 as a CRC biomarker, demonstrating its prognostic value (correlation with overall survival), tumor suppressor function through specific mechanisms (HIF-1α degradation and TGF-β pathway modulation), and validation through multiple experimental approaches including tissue microarrays and functional studies."
ENSG00000175497.17,DPP10,65,"The abstracts provide strong CRC-specific evidence for DPP10, including its role as a prognostic biomarker where loss of expression correlates with poor survival outcomes, and its involvement in colon cancer stem cell regulation through the DPP10-AS1 pathway."
ENSG00000170419.11,VSTM2A,95,"The abstracts provide exceptionally strong evidence for VSTM2A as a CRC biomarker, demonstrating direct tumor suppressor function, prognostic value, and therapeutic potential through multiple mechanisms including Wnt signaling antagonism and immune checkpoint modulation."
ENSG00000232679.2,LINC02257,85,"The abstracts provide strong, direct evidence for LINC02257 as a CRC biomarker with clear prognostic utility, mechanistic insights into its role in metastasis and EMT pathways, and validation across multiple independent studies with functional experiments."
ENSG00000030304.14,MUSK,15,"While MUSK is mentioned in one abstract about myasthenia gravis in a rectal cancer patient, there is no evidence presented for MUSK as a CRC biomarker - it appears only in the context of antibody testing for a neurological side effect of immunotherapy."
ENSG00000269404.7,SPIB,75,"The abstracts provide strong CRC-specific evidence for SPIB as a biomarker, demonstrating its tumor suppressor role in colorectal cancer progression, metastasis, and drug resistance through well-characterized molecular mechanisms including autophagy regulation and transcriptional control."
ENSG00000123500.10,COL10A1,75,"The abstracts provide strong CRC-specific evidence for COL10A1 as a biomarker, with direct evidence of its role in CRC progression, poor prognosis, and mechanistic involvement in EMT and immune suppression through cancer-associated fibroblasts, though validation as an established clinical biomarker is still emerging."
